FIPS,Industry21,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
5,Construction,3,723,0.068160784,5450,79958,723,AR
5,Manufacturing,3,1671,0.070563641,12185,172681,1671,AR
5,Wholesale Trade,3,274,0.047495496,1318,27750,274,AR
5,Retail Trade,3,1601,0.062064177,10636,171371,1601,AR
5,"Transportation, Warehousing & Storage",3,490,0.064262295,3136,48800,490,AR
5,Information,3,198,0.065583066,1388,21164,198,AR
5,"Finance, Insurance",3,430,0.05758248,2440,42374,430,AR
5,"Real Estate, Rental & Leasing",3,156,0.101621194,1799,17703,156,AR
5,"Professional, Scientific, Management",3,419,0.039777028,1734,43593,419,AR
5,Administrative & Waste Management Services,3,405,0.072140887,3400,47130,405,AR
5,Educational Services,3,1285,0.057214765,7161,125160,1285,AR
5,Health Care,3,1374,0.074890317,11010,147015,1374,AR
5,Social Assistance Services,3,287,0.135160982,4240,31370,287,AR
5,"Arts, Entertainment, Recreation",3,130,0.092539128,1218,13162,130,AR
5,Accommodation and Food Services,3,602,0.083521358,6515,78004,602,AR
5,Other Services (except Public Administration),3,570,0.118386876,6928,58520,570,AR
5,Public Administration,3,556,0.074137682,4101,55316,556,AR
5,Active Duty Military,3,44,0,0,3749,44,AR
6,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,3496,0.03894122,15387,395134,3496,CA
6,Utilities,3,1396,0.044478659,6240,140292,1396,CA
6,Construction,3,8909,0.044964277,46553,1035333,8909,CA
6,Manufacturing,3,16580,0.040357824,68191,1689660,16580,CA
6,Wholesale Trade,3,5101,0.035984232,19005,528148,5101,CA
6,Retail Trade,3,17086,0.046824245,89862,1919134,17086,CA
6,"Transportation, Warehousing & Storage",3,5916,0.041203438,26514,643490,5916,CA
6,Information,3,4840,0.035699036,17808,498837,4840,CA
6,"Finance, Insurance",3,6680,0.037110852,25622,690418,6680,CA
6,"Real Estate, Rental & Leasing",3,3607,0.060358738,23155,383623,3607,CA
6,"Professional, Scientific, Management",3,13829,0.034856553,48098,1379884,13829,CA
6,Administrative & Waste Management Services,3,7164,0.050047423,40525,809732,7164,CA
6,Educational Services,3,14996,0.04401422,62263,1414611,14996,CA
6,Health Care,3,16337,0.044165499,74162,1679184,16337,CA
6,Social Assistance Services,3,4554,0.076752673,35964,468570,4554,CA
6,"Arts, Entertainment, Recreation",3,4186,0.042650291,18822,441310,4186,CA
6,Accommodation and Food Services,3,10736,0.037818166,49037,1296652,10736,CA
6,Other Services (except Public Administration),3,8536,0.053905512,49501,918292,8536,CA
6,Public Administration,3,7503,0.056121822,41543,740229,7503,CA
6,Active Duty Military,3,1458,0.025689155,3312,128926,1458,CA
8,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,773,0.073702302,5103,69238,773,CO
8,Utilities,3,238,0.058541667,1405,24000,238,CO
8,Construction,3,1663,0.073501296,13840,188296,1663,CO
8,Manufacturing,3,1793,0.052281966,9492,181554,1793,CO
8,Wholesale Trade,3,682,0.041831395,2878,68800,682,CO
8,Retail Trade,3,2698,0.066970229,19620,292966,2698,CO
8,"Transportation, Warehousing & Storage",3,896,0.06064091,5853,96519,896,CO
8,Information,3,723,0.04995707,3782,75705,723,CO
8,"Finance, Insurance",3,1208,0.02722698,3268,120028,1208,CO
8,"Real Estate, Rental & Leasing",3,568,0.074645185,4318,57847,568,CO
8,"Professional, Scientific, Management",3,2376,0.037475534,8616,229910,2376,CO
8,Administrative & Waste Management Services,3,1057,0.081943775,9858,120302,1057,CO
8,Educational Services,3,2451,0.04242836,9618,226688,2451,CO
8,Health Care,3,2472,0.060124484,14963,248867,2472,CO
8,Social Assistance Services,3,494,0.062955341,3059,48590,494,CO
8,"Arts, Entertainment, Recreation",3,663,0.061058225,4137,67755,663,CO
8,Accommodation and Food Services,3,1626,0.058494241,11954,204362,1626,CO
8,Other Services (except Public Administration),3,1205,0.050778133,6555,129091,1205,CO
8,Public Administration,3,1282,0.074364614,9366,125947,1282,CO
8,Active Duty Military,3,357,0.096346639,3133,32518,357,CO
9,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,80,0.055532926,409,7365,80,CT
9,Utilities,3,136,0.055041481,690,12536,136,CT
9,Construction,3,916,0.040654726,4056,99767,916,CT
9,Manufacturing,3,1963,0.058828199,11115,188940,1963,CT
9,Wholesale Trade,3,429,0.048290146,2145,44419,429,CT
9,Retail Trade,3,1785,0.063948899,12394,193811,1785,CT
9,"Transportation, Warehousing & Storage",3,442,0.059454338,2761,46439,442,CT
9,Information,3,401,0.047167378,1646,34897,401,CT
9,"Finance, Insurance",3,1373,0.032514097,4117,126622,1373,CT
9,"Real Estate, Rental & Leasing",3,300,0.054661515,1627,29765,300,CT
9,"Professional, Scientific, Management",3,1401,0.034216302,4459,130318,1401,CT
9,Administrative & Waste Management Services,3,693,0.073055274,6204,84922,693,CT
9,Educational Services,3,2093,0.04660411,8766,188095,2093,CT
9,Health Care,3,2205,0.050168724,11076,220775,2205,CT
9,Social Assistance Services,3,453,0.084224213,4081,48454,453,CT
9,"Arts, Entertainment, Recreation",3,442,0.06372472,2839,44551,442,CT
9,Accommodation and Food Services,3,862,0.052003327,5315,102205,862,CT
9,Other Services (except Public Administration),3,768,0.055264027,4518,81753,768,CT
9,Public Administration,3,663,0.038195357,2616,68490,663,CT
9,Active Duty Military,3,91,0,0,10032,91,CT
10,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,27,0.160746322,448,2787,27,DE
10,Utilities,3,37,0.024918422,84,3371,37,DE
10,Construction,3,232,0.055746483,1395,25024,232,DE
10,Manufacturing,3,351,0.059915386,2011,33564,351,DE
10,Wholesale Trade,3,66,0.065482161,457,6979,66,DE
10,Retail Trade,3,506,0.064580397,3436,53205,506,DE
10,"Transportation, Warehousing & Storage",3,141,0.069024687,1247,18066,141,DE
10,Information,3,44,0.072736926,274,3767,44,DE
10,"Finance, Insurance",3,292,0.058348742,1988,34071,292,DE
10,"Real Estate, Rental & Leasing",3,72,0.043159379,306,7090,72,DE
10,"Professional, Scientific, Management",3,267,0.049911817,1415,28350,267,DE
10,Administrative & Waste Management Services,3,164,0.075167129,1383,18399,164,DE
10,Educational Services,3,431,0.044052549,1851,42018,431,DE
10,Health Care,3,454,0.063269191,3357,53059,454,DE
10,Social Assistance Services,3,122,0.127908745,1682,13150,122,DE
10,"Arts, Entertainment, Recreation",3,78,0.046579718,350,7514,78,DE
10,Accommodation and Food Services,3,231,0.060094967,1582,26325,231,DE
10,Other Services (except Public Administration),3,185,0.072480564,1501,20709,185,DE
10,Public Administration,3,219,0.071916011,1507,20955,219,DE
10,Active Duty Military,3,19,0,0,1864,19,DE
11,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,3,0,0,242,3,DC
11,Utilities,3,8,0,0,517,8,DC
11,Construction,3,64,0.067547387,588,8705,64,DC
11,Manufacturing,3,45,0.005636979,25,4435,45,DC
11,Wholesale Trade,3,19,0,0,1739,19,DC
11,Retail Trade,3,169,0.0654643,1147,17521,169,DC
11,"Transportation, Warehousing & Storage",3,64,0.025424939,178,7001,64,DC
11,Information,3,119,0.022643991,241,10643,119,DC
11,"Finance, Insurance",3,98,0.004068585,42,10323,98,DC
11,"Real Estate, Rental & Leasing",3,82,0.040538929,340,8387,82,DC
11,"Professional, Scientific, Management",3,709,0.02627935,1765,67163,709,DC
11,Administrative & Waste Management Services,3,131,0.106598985,1533,14381,131,DC
11,Educational Services,3,320,0.045509848,1384,30411,320,DC
11,Health Care,3,239,0.086656099,2132,24603,239,DC
11,Social Assistance Services,3,119,0.022415587,237,10573,119,DC
11,"Arts, Entertainment, Recreation",3,74,0.013694681,95,6937,74,DC
11,Accommodation and Food Services,3,168,0.043246994,935,21620,168,DC
11,Other Services (except Public Administration),3,332,0.065738618,2007,30530,332,DC
11,Public Administration,3,575,0.037658374,2036,54065,575,DC
11,Active Duty Military,3,42,0,0,3250,42,DC
12,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,817,0.061937427,5553,89655,817,FL
12,Utilities,3,675,0.035062333,2205,62888,675,FL
12,Construction,3,4989,0.044560239,25860,580338,4989,FL
12,Manufacturing,3,4357,0.057513889,25156,437390,4357,FL
12,Wholesale Trade,3,2385,0.050223527,12369,246279,2385,FL
12,Retail Trade,3,10176,0.061335673,69701,1136386,10176,FL
12,"Transportation, Warehousing & Storage",3,3371,0.054711403,20117,367693,3371,FL
12,Information,3,1706,0.042251398,7286,172444,1706,FL
12,"Finance, Insurance",3,4209,0.041222725,17101,414844,4209,FL
12,"Real Estate, Rental & Leasing",3,2389,0.069283352,16612,239769,2389,FL
12,"Professional, Scientific, Management",3,5902,0.045710701,25137,549915,5902,FL
12,Administrative & Waste Management Services,3,4460,0.056450115,28565,506022,4460,FL
12,Educational Services,3,7187,0.046715807,31239,668703,7187,FL
12,Health Care,3,9379,0.047489679,44977,947090,9379,FL
12,Social Assistance Services,3,1343,0.065488832,9189,140314,1343,FL
12,"Arts, Entertainment, Recreation",3,2403,0.068436275,17818,260359,2403,FL
12,Accommodation and Food Services,3,6174,0.040649998,30754,756556,6174,FL
12,Other Services (except Public Administration),3,4320,0.065333844,30186,462027,4320,FL
12,Public Administration,3,4020,0.055234995,21213,384050,4020,FL
12,Active Duty Military,3,586,0.023551829,1236,52480,586,FL
13,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,548,0.101904176,5464,53619,548,GA
13,Utilities,3,428,0.04369357,1747,39983,428,GA
13,Construction,3,2346,0.055443022,15492,279422,2346,GA
13,Manufacturing,3,4418,0.054338334,25200,463761,4418,GA
13,Wholesale Trade,3,1232,0.059631488,7641,128137,1232,GA
13,Retail Trade,3,4644,0.057690071,29763,515912,4644,GA
13,"Transportation, Warehousing & Storage",3,1920,0.064172288,13546,211088,1920,GA
13,Information,3,1033,0.041312426,4558,110330,1033,GA
13,"Finance, Insurance",3,1936,0.043074526,8461,196427,1936,GA
13,"Real Estate, Rental & Leasing",3,814,0.055337849,4886,88294,814,GA
13,"Professional, Scientific, Management",3,2958,0.050574355,14617,289020,2958,GA
13,Administrative & Waste Management Services,3,1634,0.074392128,14493,194819,1634,GA
13,Educational Services,3,4299,0.048757809,19979,409760,4299,GA
13,Health Care,3,4108,0.058561081,24676,421372,4108,GA
13,Social Assistance Services,3,719,0.094944132,7367,77593,719,GA
13,"Arts, Entertainment, Recreation",3,624,0.060686054,4207,69324,624,GA
13,Accommodation and Food Services,3,2547,0.046702648,15437,330538,2547,GA
13,Other Services (except Public Administration),3,2006,0.063167989,13570,214824,2006,GA
13,Public Administration,3,2329,0.062409603,14714,235765,2329,GA
13,Active Duty Military,3,601,0.080675187,3857,47809,601,GA
15,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,84,0.048056217,424,8823,84,HI
15,Utilities,3,64,0.027800226,172,6187,64,HI
15,Construction,3,406,0.051826927,2295,44282,406,HI
15,Manufacturing,3,200,0.075561536,1460,19322,200,HI
15,Wholesale Trade,3,149,0.027482328,416,15137,149,HI
15,Retail Trade,3,737,0.050099193,3788,75610,737,HI
15,"Transportation, Warehousing & Storage",3,330,0.080867791,2695,33326,330,HI
15,Information,3,105,0.04889669,585,11964,105,HI
15,"Finance, Insurance",3,262,0.034347879,843,24543,262,HI
15,"Real Estate, Rental & Leasing",3,180,0.051458521,972,18889,180,HI
15,"Professional, Scientific, Management",3,323,0.013543653,419,30937,323,HI
15,Administrative & Waste Management Services,3,287,0.094010275,2946,31337,287,HI
15,Educational Services,3,687,0.03626755,2299,63390,687,HI
15,Health Care,3,642,0.040074094,2661,66402,642,HI
15,Social Assistance Services,3,133,0.052252389,689,13186,133,HI
15,"Arts, Entertainment, Recreation",3,159,0.028814473,481,16693,159,HI
15,Accommodation and Food Services,3,755,0.048548674,4066,83751,755,HI
15,Other Services (except Public Administration),3,260,0.041303213,1108,26826,260,HI
15,Public Administration,3,559,0.046507859,2583,55539,559,HI
15,Active Duty Military,3,487,0.043663472,2050,46950,487,HI
16,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,451,0.083016508,3319,39980,451,ID
16,Utilities,3,54,0.070006863,306,4371,54,ID
16,Construction,3,465,0.059656121,3081,51646,465,ID
16,Manufacturing,3,704,0.058404482,4378,74960,704,ID
16,Wholesale Trade,3,184,0.093397439,1962,21007,184,ID
16,Retail Trade,3,754,0.062918936,5510,87573,754,ID
16,"Transportation, Warehousing & Storage",3,278,0.103291266,2881,27892,278,ID
16,Information,3,113,0.045125031,554,12277,113,ID
16,"Finance, Insurance",3,221,0.093327166,2421,25941,221,ID
16,"Real Estate, Rental & Leasing",3,126,0.096404342,1421,14740,126,ID
16,"Professional, Scientific, Management",3,383,0.041626095,1710,41080,383,ID
16,Administrative & Waste Management Services,3,225,0.082554458,2164,26213,225,ID
16,Educational Services,3,665,0.077931773,4802,61618,665,ID
16,Health Care,3,668,0.063775808,4374,68584,668,ID
16,Social Assistance Services,3,161,0.026887476,427,15881,161,ID
16,"Arts, Entertainment, Recreation",3,123,0.110606325,1266,11446,123,ID
16,Accommodation and Food Services,3,375,0.037700613,1938,51405,375,ID
16,Other Services (except Public Administration),3,307,0.064705882,2068,31960,307,ID
16,Public Administration,3,367,0.036408747,1262,34662,367,ID
16,Active Duty Military,3,32,0,0,2599,32,ID
17,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,936,0.059136664,4177,70633,936,IL
17,Utilities,3,472,0.045770915,1986,43390,472,IL
17,Construction,3,3010,0.048169317,14723,305651,3010,IL
17,Manufacturing,3,7623,0.053282173,40923,768043,7623,IL
17,Wholesale Trade,3,1898,0.042746087,8105,189608,1898,IL
17,Retail Trade,3,6201,0.060185494,38760,644009,6201,IL
17,"Transportation, Warehousing & Storage",3,2944,0.057288464,18076,315526,2944,IL
17,Information,3,1141,0.037661059,4437,117814,1141,IL
17,"Finance, Insurance",3,3461,0.031227914,10781,345236,3461,IL
17,"Real Estate, Rental & Leasing",3,863,0.040753959,3814,93586,863,IL
17,"Professional, Scientific, Management",3,4124,0.029043523,12559,432420,4124,IL
17,Administrative & Waste Management Services,3,2273,0.051594484,13427,260241,2273,IL
17,Educational Services,3,6251,0.043952178,26234,596876,6251,IL
17,Health Care,3,6791,0.053689649,36551,680783,6791,IL
17,Social Assistance Services,3,1411,0.117259739,15725,134104,1411,IL
17,"Arts, Entertainment, Recreation",3,1096,0.050073713,5910,118026,1096,IL
17,Accommodation and Food Services,3,3295,0.051279068,21158,412605,3295,IL
17,Other Services (except Public Administration),3,2800,0.070627357,20092,284479,2800,IL
17,Public Administration,3,2437,0.070794787,15726,222135,2437,IL
17,Active Duty Military,3,129,0.031933508,438,13716,129,IL
18,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,453,0.090944527,3733,41047,453,IN
18,Utilities,3,249,0.064439665,1468,22781,249,IN
18,Construction,3,1608,0.060004163,10377,172938,1608,IN
18,Manufacturing,3,5744,0.06546982,37190,568048,5744,IN
18,Wholesale Trade,3,742,0.058704618,4327,73708,742,IN
18,Retail Trade,3,3212,0.075007175,25089,334488,3212,IN
18,"Transportation, Warehousing & Storage",3,1303,0.078678644,10756,136708,1303,IN
18,Information,3,466,0.064470629,2971,46083,466,IN
18,"Finance, Insurance",3,1085,0.05270565,5655,107294,1085,IN
18,"Real Estate, Rental & Leasing",3,415,0.064201457,2705,42133,415,IN
18,"Professional, Scientific, Management",3,1298,0.059238288,7679,129629,1298,IN
18,Administrative & Waste Management Services,3,995,0.098799647,10873,110051,995,IN
18,Educational Services,3,3019,0.047240484,13394,283528,3019,IN
18,Health Care,3,3514,0.058395826,20737,355111,3514,IN
18,Social Assistance Services,3,655,0.129541617,8286,63964,655,IN
18,"Arts, Entertainment, Recreation",3,512,0.064390879,3267,50737,512,IN
18,Accommodation and Food Services,3,1776,0.067211668,13171,195963,1776,IN
18,Other Services (except Public Administration),3,1427,0.069803305,9596,137472,1427,IN
18,Public Administration,3,1181,0.073673887,8714,118278,1181,IN
18,Active Duty Military,3,27,0,0,2814,27,IN
19,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,685,0.053025077,3305,62329,685,IA
19,Utilities,3,131,0.019583843,256,13072,131,IA
19,Construction,3,975,0.050535323,4772,94429,975,IA
19,Manufacturing,3,2532,0.057552764,14229,247234,2532,IA
19,Wholesale Trade,3,506,0.041701193,2013,48272,506,IA
19,Retail Trade,3,1671,0.074587935,12725,170604,1671,IA
19,"Transportation, Warehousing & Storage",3,631,0.07334227,4213,57443,631,IA
19,Information,3,290,0.077738138,2179,28030,290,IA
19,"Finance, Insurance",3,895,0.039107182,3795,97041,895,IA
19,"Real Estate, Rental & Leasing",3,133,0.095276633,1295,13592,133,IA
19,"Professional, Scientific, Management",3,466,0.052297709,2869,54859,466,IA
19,Administrative & Waste Management Services,3,435,0.097479615,4734,48564,435,IA
19,Educational Services,3,1611,0.052536569,7916,150676,1611,IA
19,Health Care,3,1727,0.064755314,11397,176001,1727,IA
19,Social Assistance Services,3,436,0.118309086,5172,43716,436,IA
19,"Arts, Entertainment, Recreation",3,260,0.044592136,1201,26933,260,IA
19,Accommodation and Food Services,3,694,0.10031991,8216,81898,694,IA
19,Other Services (except Public Administration),3,679,0.080070921,5058,63169,679,IA
19,Public Administration,3,547,0.030979181,1555,50195,547,IA
19,Active Duty Military,3,17,0.019379845,30,1548,17,IA
20,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,739,0.088044079,4618,52451,739,KS
20,Utilities,3,174,0.105700954,1563,14787,174,KS
20,Construction,3,809,0.063894404,5407,84624,809,KS
20,Manufacturing,3,1769,0.069813029,13035,186713,1769,KS
20,Wholesale Trade,3,382,0.043906029,1611,36692,382,KS
20,Retail Trade,3,1330,0.076217361,11232,147368,1330,KS
20,"Transportation, Warehousing & Storage",3,516,0.072010612,3800,52770,516,KS
20,Information,3,279,0.048638638,1497,30778,279,KS
20,"Finance, Insurance",3,638,0.032500511,2067,63599,638,KS
20,"Real Estate, Rental & Leasing",3,165,0.039390362,734,18634,165,KS
20,"Professional, Scientific, Management",3,668,0.043973513,3513,79889,668,KS
20,Administrative & Waste Management Services,3,391,0.051911787,2361,45481,391,KS
20,Educational Services,3,1539,0.039504011,5639,142745,1539,KS
20,Health Care,3,1627,0.069097432,11325,163899,1627,KS
20,Social Assistance Services,3,336,0.12392638,4040,32600,336,KS
20,"Arts, Entertainment, Recreation",3,192,0.034305681,648,18889,192,KS
20,Accommodation and Food Services,3,641,0.060069889,4882,81272,641,KS
20,Other Services (except Public Administration),3,618,0.07457973,4605,61746,618,KS
20,Public Administration,3,625,0.07851516,4814,61313,625,KS
20,Active Duty Military,3,150,0.039147851,645,16476,150,KS
21,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,527,0.085895911,4405,51283,527,KY
21,Utilities,3,202,0.07973201,1559,19553,202,KY
21,Construction,3,1038,0.052305575,6004,114787,1038,KY
21,Manufacturing,3,2635,0.061207187,16532,270099,2635,KY
21,Wholesale Trade,3,489,0.048116691,2385,49567,489,KY
21,Retail Trade,3,2112,0.083380253,18067,216682,2112,KY
21,"Transportation, Warehousing & Storage",3,881,0.07498765,6831,91095,881,KY
21,Information,3,277,0.098758175,2688,27218,277,KY
21,"Finance, Insurance",3,797,0.038771534,2766,71341,797,KY
21,"Real Estate, Rental & Leasing",3,275,0.128115076,3429,26765,275,KY
21,"Professional, Scientific, Management",3,873,0.06242924,5073,81260,873,KY
21,Administrative & Waste Management Services,3,622,0.100291537,6777,67573,622,KY
