Sector,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
,0,,Some other race(s),Less than High School,11,18584,2469779,18584
,0,,Some other race(s),High School,11,22915,2809177,22915
,0,,Some other race(s),Some College,11,27162,3125898,27162
,0,,Some other race(s),Bachelors Degree or more,11,16023,1768293,16023
,1,,White only,Less than High School,11,7926,771966,7926
,1,,White only,High School,11,21658,1988214,21658
,1,,White only,Some College,11,23448,2206673,23448
,1,,White only,Bachelors Degree or more,11,15974,1439517,15974
,1,,Black/African American only,Less than High School,11,1487,148400,1487
,1,,Black/African American only,High School,11,2909,314871,2909
,1,,Black/African American only,Some College,11,3228,360282,3228
,1,,Black/African American only,Bachelors Degree or more,11,1406,148298,1406
,1,,Asian only,Less than High School,11,356,36024,356
,1,,Asian only,High School,11,431,44575,431
,1,,Asian only,Some College,11,659,63988,659
,1,,Asian only,Bachelors Degree or more,11,872,81376,872
,1,,Some other race(s),Less than High School,11,1424,158201,1424
,1,,Some other race(s),High School,11,1629,167938,1629
,1,,Some other race(s),Some College,11,2008,198468,2008
,1,,Some other race(s),Bachelors Degree or more,11,823,83542,823
,0,0,,,12,630002,64627404,630002
,0,1,,,12,679163,71787250,679163
,1,0,,,12,39297,3742015,39297
,1,1,,,12,46941,4470318,46941
,0,0,,Less than High School,13,37003,4288737,37003
,0,0,,High School,13,139030,14503714,139030
,0,0,,Some College,13,220005,22826066,220005
,0,0,,Bachelors Degree or more,13,233964,23008887,233964
,0,1,,Less than High School,13,61740,7443588,61740
,0,1,,High School,13,178376,19302701,178376
,0,1,,Some College,13,208260,22046491,208260
,0,1,,Bachelors Degree or more,13,230787,22994470,230787
,1,0,,Less than High School,13,4536,449355,4536
,1,0,,High School,13,11594,1090066,11594
,1,0,,Some College,13,14396,1391233,14396
,1,0,,Bachelors Degree or more,13,8771,811361,8771
,1,1,,Less than High School,13,6657,665236,6657
,1,1,,High School,13,15033,1425532,15033
,1,1,,Some College,13,14947,1438178,14947
,1,1,,Bachelors Degree or more,13,10304,941372,10304
,0,0,White only,,14,491796,48286010,491796
,0,0,Black/African American only,,14,64721,8207543,64721
,0,0,Asian only,,14,34756,3675288,34756
,0,0,Some other race(s),,14,38729,4458563,38729
,0,1,White only,,14,544375,55166739,544375
,0,1,Black/African American only,,14,52098,6925863,52098
,0,1,Asian only,,14,36735,3980064,36735
,0,1,Some other race(s),,14,45955,5714584,45955
,1,0,White only,,14,30262,2806397,30262
,1,0,Black/African American only,,14,5142,548024,5142
,1,0,Asian only,,14,1116,106956,1116
,1,0,Some other race(s),,14,2777,280638,2777
,1,1,White only,,14,38744,3599973,38744
,1,1,Black/African American only,,14,3888,423827,3888
,1,1,Asian only,,14,1202,119007,1202
,1,1,Some other race(s),,14,3107,327511,3107
,0,0,White only,Less than High School,15,22959,2593551,22959
,0,0,White only,High School,15,109132,10828896,109132
,0,0,White only,Some College,15,171739,16977753,171739
,0,0,White only,Bachelors Degree or more,15,187966,17885810,187966
,0,0,Black/African American only,Less than High School,15,4484,550104,4484
,0,0,Black/African American only,High School,15,15875,2048529,15875
,0,0,Black/African American only,Some College,15,26430,3440205,26430
,0,0,Black/African American only,Bachelors Degree or more,15,17932,2168705,17932
,0,0,Asian only,Less than High School,15,3005,312926,3005
,0,0,Asian only,High School,15,4512,507933,4512
,0,0,Asian only,Some College,15,7852,836012,7852
,0,0,Asian only,Bachelors Degree or more,15,19387,2018417,19387
,0,0,Some other race(s),Less than High School,15,6555,832156,6555
,0,0,Some other race(s),High School,15,9511,1118356,9511
,0,0,Some other race(s),Some College,15,13984,1572096,13984
,0,0,Some other race(s),Bachelors Degree or more,15,8679,935955,8679
,0,1,White only,Less than High School,15,41859,4871243,41859
,0,1,White only,High School,15,143696,14776657,143696
,0,1,White only,Some College,15,168309,17090292,168309
,0,1,White only,Bachelors Degree or more,15,190511,18428547,190511
,0,1,Black/African American only,Less than High School,15,4950,617426,4950
,0,1,Black/African American only,High School,15,16741,2299654,16741
,0,1,Black/African American only,Some College,15,19000,2557539,19000
,0,1,Black/African American only,Bachelors Degree or more,15,11407,1451244,11407
,0,1,Asian only,Less than High School,15,2902,317296,2902
,0,1,Asian only,High School,15,4535,535569,4535
,0,1,Asian only,Some College,15,7773,844858,7773
,0,1,Asian only,Bachelors Degree or more,15,21525,2282341,21525
,0,1,Some other race(s),Less than High School,15,12029,1637623,12029
,0,1,Some other race(s),High School,15,13404,1690821,13404
,0,1,Some other race(s),Some College,15,13178,1553802,13178
,0,1,Some other race(s),Bachelors Degree or more,15,7344,832338,7344
,1,0,White only,Less than High School,15,3003,292743,3003
,1,0,White only,High School,15,9162,834012,9162
,1,0,White only,Some College,15,11015,1036868,11015
,1,0,White only,Bachelors Degree or more,15,7082,642774,7082
,1,0,Black/African American only,Less than High School,15,745,74314,745
,1,0,Black/African American only,High School,15,1524,161735,1524
,1,0,Black/African American only,Some College,15,1976,218243,1976
,1,0,Black/African American only,Bachelors Degree or more,15,897,93732,897
,1,0,Asian only,Less than High School,15,195,19030,195
,1,0,Asian only,High School,15,207,22258,207
,1,0,Asian only,Some College,15,325,30006,325
,1,0,Asian only,Bachelors Degree or more,15,389,35662,389
,1,0,Some other race(s),Less than High School,15,593,63268,593
,1,0,Some other race(s),High School,15,701,72061,701
,1,0,Some other race(s),Some College,15,1080,106116,1080
,1,0,Some other race(s),Bachelors Degree or more,15,403,39193,403
,1,1,White only,Less than High School,15,4923,479223,4923
,1,1,White only,High School,15,12496,1154202,12496
,1,1,White only,Some College,15,12433,1169805,12433
,1,1,White only,Bachelors Degree or more,15,8892,796743,8892
,1,1,Black/African American only,Less than High School,15,742,74086,742
,1,1,Black/African American only,High School,15,1385,153136,1385
,1,1,Black/African American only,Some College,15,1252,142039,1252
,1,1,Black/African American only,Bachelors Degree or more,15,509,54566,509
,1,1,Asian only,Less than High School,15,161,16994,161
,1,1,Asian only,High School,15,224,22317,224
,1,1,Asian only,Some College,15,334,33982,334
,1,1,Asian only,Bachelors Degree or more,15,483,45714,483
,1,1,Some other race(s),Less than High School,15,831,94933,831
,1,1,Some other race(s),High School,15,928,95877,928
,1,1,Some other race(s),Some College,15,928,92352,928
,1,1,Some other race(s),Bachelors Degree or more,15,420,44349,420
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,,,16,906078,97957138,906078
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,,16,122542,11637145,122542
"Local, State or Federal (city, county, etc.) government employee",,,,,16,226303,21501555,226303
Self employed,,,,,16,140480,13531149,140480
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,,Less than High School,17,85354,10290027,85354
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,,High School,17,251059,27435486,251059
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,,Some College,17,311894,33632658,311894
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,,Bachelors Degree or more,17,257771,26598967,257771
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,Less than High School,17,5083,504099,5083
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,High School,17,18279,1757260,18279
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,Some College,17,36128,3490492,36128
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,,Bachelors Degree or more,17,63052,5885294,63052
"Local, State or Federal (city, county, etc.) government employee",,,,Less than High School,17,6511,634515,6511
"Local, State or Federal (city, county, etc.) government employee",,,,High School,17,40090,3755784,40090
"Local, State or Federal (city, county, etc.) government employee",,,,Some College,17,68887,6691859,68887
"Local, State or Federal (city, county, etc.) government employee",,,,Bachelors Degree or more,17,110815,10419397,110815
Self employed,,,,Less than High School,17,12988,1418275,12988
Self employed,,,,High School,17,34605,3373483,34605
Self employed,,,,Some College,17,40699,3886959,40699
Self employed,,,,Bachelors Degree or more,17,52188,4852432,52188
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,White only,,18,710571,73492351,710571
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Black/African American only,,18,80564,10830655,80564
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Asian only,,18,51136,5613845,51136
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Some other race(s),,18,63807,8020287,63807
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,White only,,18,99280,9084589,99280
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Black/African American only,,18,11335,1340611,11335
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Asian only,,18,5998,587902,5998
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Some other race(s),,18,5929,624043,5929
"Local, State or Federal (city, county, etc.) government employee",,,White only,,18,175292,16116970,175292
"Local, State or Federal (city, county, etc.) government employee",,,Black/African American only,,18,27711,3162898,27711
"Local, State or Federal (city, county, etc.) government employee",,,Asian only,,18,9484,917380,9484
"Local, State or Federal (city, county, etc.) government employee",,,Some other race(s),,18,13816,1304307,13816
Self employed,,,White only,,18,120034,11165209,120034
Self employed,,,Black/African American only,,18,6239,771093,6239
Self employed,,,Asian only,,18,7191,762188,7191
Self employed,,,Some other race(s),,18,7016,832659,7016
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,White only,Less than High School,19,56271,6572597,56271
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,White only,High School,19,199665,20716702,199665
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,White only,Some College,19,248310,25573042,248310
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,White only,Bachelors Degree or more,19,206325,20630010,206325
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Black/African American only,Less than High School,19,8104,1015242,8104
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Black/African American only,High School,19,25640,3493086,25640
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Black/African American only,Some College,19,32128,4396638,32128
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Black/African American only,Bachelors Degree or more,19,14692,1925689,14692
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Asian only,Less than High School,19,4837,523770,4837
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Asian only,High School,19,7134,845624,7134
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Asian only,Some College,19,11461,1256465,11461
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Asian only,Bachelors Degree or more,19,27704,2987986,27704
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Some other race(s),Less than High School,19,16142,2178418,16142
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Some other race(s),High School,19,18620,2380074,18620
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Some other race(s),Some College,19,19995,2406513,19995
"Private, for profit business or of an individual, for wages,.salary, or commissions",,,Some other race(s),Bachelors Degree or more,19,9050,1055282,9050
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,White only,Less than High School,19,3351,320786,3351
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,White only,High School,19,14365,1314217,14365
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,White only,Some College,19,28743,2654715,28743
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,White only,Bachelors Degree or more,19,52821,4794871,52821
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Black/African American only,Less than High School,19,809,83968,809
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Black/African American only,High School,19,2341,279284,2341
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Black/African American only,Some College,19,4276,519215,4276
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Black/African American only,Bachelors Degree or more,19,3909,458144,3909
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Asian only,Less than High School,19,215,23472,215
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Asian only,High School,19,400,39527,400
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Asian only,Some College,19,1097,105481,1097
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Asian only,Bachelors Degree or more,19,4286,419422,4286
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Some other race(s),Less than High School,19,708,75873,708
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Some other race(s),High School,19,1173,124232,1173
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Some other race(s),Some College,19,2012,211081,2012
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,,Some other race(s),Bachelors Degree or more,19,2036,212857,2036
"Local, State or Federal (city, county, etc.) government employee",,,White only,Less than High School,19,3831,367558,3831
"Local, State or Federal (city, county, etc.) government employee",,,White only,High School,19,30476,2745350,30476
"Local, State or Federal (city, county, etc.) government employee",,,White only,Some College,19,51275,4804128,51275
"Local, State or Federal (city, county, etc.) government employee",,,White only,Bachelors Degree or more,19,89710,8199934,89710
"Local, State or Federal (city, county, etc.) government employee",,,Black/African American only,Less than High School,19,1307,136102,1307
"Local, State or Federal (city, county, etc.) government employee",,,Black/African American only,High School,19,5818,670795,5818
"Local, State or Federal (city, county, etc.) government employee",,,Black/African American only,Some College,19,10094,1169391,10094
"Local, State or Federal (city, county, etc.) government employee",,,Black/African American only,Bachelors Degree or more,19,10492,1186610,10492
"Local, State or Federal (city, county, etc.) government employee",,,Asian only,Less than High School,19,345,33333,345
"Local, State or Federal (city, county, etc.) government employee",,,Asian only,High School,19,779,74261,779
"Local, State or Federal (city, county, etc.) government employee",,,Asian only,Some College,19,2193,213632,2193
"Local, State or Federal (city, county, etc.) government employee",,,Asian only,Bachelors Degree or more,19,6167,596154,6167
"Local, State or Federal (city, county, etc.) government employee",,,Some other race(s),Less than High School,19,1028,97522,1028
"Local, State or Federal (city, county, etc.) government employee",,,Some other race(s),High School,19,3017,265378,3017
"Local, State or Federal (city, county, etc.) government employee",,,Some other race(s),Some College,19,5325,504708,5325
"Local, State or Federal (city, county, etc.) government employee",,,Some other race(s),Bachelors Degree or more,19,4446,436699,4446
Self employed,,,White only,Less than High School,19,9291,975819,9291
Self employed,,,White only,High School,19,29980,2817498,29980
Self employed,,,White only,Some College,19,35168,3242833,35168
Self employed,,,White only,Bachelors Degree or more,19,45595,4129059,45595
Self employed,,,Black/African American only,Less than High School,19,701,80618,701
Self employed,,,Black/African American only,High School,19,1726,219889,1726
Self employed,,,Black/African American only,Some College,19,2160,272782,2160
Self employed,,,Black/African American only,Bachelors Degree or more,19,1652,197804,1652
Self employed,,,Asian only,Less than High School,19,866,85671,866
Self employed,,,Asian only,High School,19,1165,128665,1165
Self employed,,,Asian only,Some College,19,1533,169280,1533
Self employed,,,Asian only,Bachelors Degree or more,19,3627,378572,3627
Self employed,,,Some other race(s),Less than High School,19,2130,276167,2130
Self employed,,,Some other race(s),High School,19,1734,207431,1734
Self employed,,,Some other race(s),Some College,19,1838,202064,1838
Self employed,,,Some other race(s),Bachelors Degree or more,19,1314,146997,1314
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,,,20,414073,44279813,414073
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,,,20,492005,53677325,492005
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,,,20,80424,7602874,80424
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,,,20,42118,4034271,42118
"Local, State or Federal (city, county, etc.) government employee",,0,,,20,124011,11642579,124011
"Local, State or Federal (city, county, etc.) government employee",,1,,,20,102292,9858976,102292
Self employed,,0,,,20,50791,4844153,50791
Self employed,,1,,,20,89689,8686996,89689
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,,Less than High School,21,31663,3717580,31663
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,,High School,21,107844,11550246,107844
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,,Some College,21,157511,16897019,157511
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,,Bachelors Degree or more,21,117055,12114968,117055
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,,Less than High School,21,53691,6572447,53691
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,,High School,21,143215,15885240,143215
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,,Some College,21,154383,16735639,154383
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,,Bachelors Degree or more,21,140716,14483999,140716
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,,Less than High School,21,2544,254629,2544
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,,High School,21,11676,1110165,11676
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,,Some College,21,25853,2468255,25853
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,,Bachelors Degree or more,21,40351,3769825,40351
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,,Less than High School,21,2539,249470,2539
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,,High School,21,6603,647095,6603
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,,Some College,21,10275,1022237,10275
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,,Bachelors Degree or more,21,22701,2115469,22701
"Local, State or Federal (city, county, etc.) government employee",,0,,Less than High School,21,3404,336328,3404
"Local, State or Federal (city, county, etc.) government employee",,0,,High School,21,19688,1827489,19688
"Local, State or Federal (city, county, etc.) government employee",,0,,Some College,21,35035,3334188,35035
"Local, State or Federal (city, county, etc.) government employee",,0,,Bachelors Degree or more,21,65884,6144574,65884
"Local, State or Federal (city, county, etc.) government employee",,1,,Less than High School,21,3107,298187,3107
"Local, State or Federal (city, county, etc.) government employee",,1,,High School,21,20402,1928295,20402
"Local, State or Federal (city, county, etc.) government employee",,1,,Some College,21,33852,3357671,33852
"Local, State or Federal (city, county, etc.) government employee",,1,,Bachelors Degree or more,21,44931,4274823,44931
Self employed,,0,,Less than High School,21,3928,429555,3928
Self employed,,0,,High School,21,11416,1105880,11416
Self employed,,0,,Some College,21,16002,1517837,16002
Self employed,,0,,Bachelors Degree or more,21,19445,1790881,19445
Self employed,,1,,Less than High School,21,9060,988720,9060
Self employed,,1,,High School,21,23189,2267603,23189
Self employed,,1,,Some College,21,24697,2369122,24697
Self employed,,1,,Bachelors Degree or more,21,32743,3061551,32743
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,White only,,22,319064,32596556,319064
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Black/African American only,,22,43085,5695121,43085
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Asian only,,22,24423,2654589,24423
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Some other race(s),,22,27501,3333547,27501
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,White only,,22,391507,40895795,391507
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Black/African American only,,22,37479,5135534,37479
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Asian only,,22,26713,2959256,26713
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Some other race(s),,22,36306,4686740,36306
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,White only,,22,65672,5991191,65672
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Black/African American only,,22,7502,882308,7502
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Asian only,,22,3533,344522,3533
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Some other race(s),,22,3717,384853,3717
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,White only,,22,33608,3093398,33608
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Black/African American only,,22,3833,458303,3833
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Asian only,,22,2465,243380,2465
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Some other race(s),,22,2212,239190,2212
"Local, State or Federal (city, county, etc.) government employee",,0,White only,,22,94934,8602129,94934
"Local, State or Federal (city, county, etc.) government employee",,0,Black/African American only,,22,16656,1871988,16656
"Local, State or Federal (city, county, etc.) government employee",,0,Asian only,,22,4912,470574,4912
"Local, State or Federal (city, county, etc.) government employee",,0,Some other race(s),,22,7509,697888,7509
"Local, State or Federal (city, county, etc.) government employee",,1,White only,,22,80358,7514841,80358
"Local, State or Federal (city, county, etc.) government employee",,1,Black/African American only,,22,11055,1290910,11055
"Local, State or Federal (city, county, etc.) government employee",,1,Asian only,,22,4572,446806,4572
"Local, State or Federal (city, county, etc.) government employee",,1,Some other race(s),,22,6307,606419,6307
Self employed,,0,White only,,22,42388,3902531,42388
Self employed,,0,Black/African American only,,22,2620,306150,2620
Self employed,,0,Asian only,,22,3004,312559,3004
Self employed,,0,Some other race(s),,22,2779,322913,2779
Self employed,,1,White only,,22,77646,7262678,77646
Self employed,,1,Black/African American only,,22,3619,464943,3619
Self employed,,1,Asian only,,22,4187,449629,4187
Self employed,,1,Some other race(s),,22,4237,509746,4237
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,White only,Less than High School,23,19860,2273065,19860
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,White only,High School,23,84538,8598797,84538
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,White only,Some College,23,123244,12578720,123244
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,White only,Bachelors Degree or more,23,91422,9145974,91422
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Black/African American only,Less than High School,23,3851,476685,3851
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Black/African American only,High School,23,12302,1623466,12302
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Black/African American only,Some College,23,18451,2498526,18451
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Black/African American only,Bachelors Degree or more,23,8481,1096444,8481
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Asian only,Less than High School,23,2477,260882,2477
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Asian only,High School,23,3566,412550,3566
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Asian only,Some College,23,5729,625027,5729
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Asian only,Bachelors Degree or more,23,12651,1356130,12651
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Some other race(s),Less than High School,23,5475,706948,5475
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Some other race(s),High School,23,7438,915433,7438
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Some other race(s),Some College,23,10087,1194746,10087
"Private, for profit business or of an individual, for wages,.salary, or commissions",,0,Some other race(s),Bachelors Degree or more,23,4501,516420,4501
