Industry21,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
,0,,Some other race(s),Less than High School,11,18584,2469779,18584
,0,,Some other race(s),High School,11,22915,2809177,22915
,0,,Some other race(s),Some College,11,27162,3125898,27162
,0,,Some other race(s),Bachelors Degree or more,11,16023,1768293,16023
,1,,White only,Less than High School,11,7926,771966,7926
,1,,White only,High School,11,21658,1988214,21658
,1,,White only,Some College,11,23448,2206673,23448
,1,,White only,Bachelors Degree or more,11,15974,1439517,15974
,1,,Black/African American only,Less than High School,11,1487,148400,1487
,1,,Black/African American only,High School,11,2909,314871,2909
,1,,Black/African American only,Some College,11,3228,360282,3228
,1,,Black/African American only,Bachelors Degree or more,11,1406,148298,1406
,1,,Asian only,Less than High School,11,356,36024,356
,1,,Asian only,High School,11,431,44575,431
,1,,Asian only,Some College,11,659,63988,659
,1,,Asian only,Bachelors Degree or more,11,872,81376,872
,1,,Some other race(s),Less than High School,11,1424,158201,1424
,1,,Some other race(s),High School,11,1629,167938,1629
,1,,Some other race(s),Some College,11,2008,198468,2008
,1,,Some other race(s),Bachelors Degree or more,11,823,83542,823
,0,0,,,12,630002,64627404,630002
,0,1,,,12,679163,71787250,679163
,1,0,,,12,39297,3742015,39297
,1,1,,,12,46941,4470318,46941
,0,0,,Less than High School,13,37003,4288737,37003
,0,0,,High School,13,139030,14503714,139030
,0,0,,Some College,13,220005,22826066,220005
,0,0,,Bachelors Degree or more,13,233964,23008887,233964
,0,1,,Less than High School,13,61740,7443588,61740
,0,1,,High School,13,178376,19302701,178376
,0,1,,Some College,13,208260,22046491,208260
,0,1,,Bachelors Degree or more,13,230787,22994470,230787
,1,0,,Less than High School,13,4536,449355,4536
,1,0,,High School,13,11594,1090066,11594
,1,0,,Some College,13,14396,1391233,14396
,1,0,,Bachelors Degree or more,13,8771,811361,8771
,1,1,,Less than High School,13,6657,665236,6657
,1,1,,High School,13,15033,1425532,15033
,1,1,,Some College,13,14947,1438178,14947
,1,1,,Bachelors Degree or more,13,10304,941372,10304
,0,0,White only,,14,491796,48286010,491796
,0,0,Black/African American only,,14,64721,8207543,64721
,0,0,Asian only,,14,34756,3675288,34756
,0,0,Some other race(s),,14,38729,4458563,38729
,0,1,White only,,14,544375,55166739,544375
,0,1,Black/African American only,,14,52098,6925863,52098
,0,1,Asian only,,14,36735,3980064,36735
,0,1,Some other race(s),,14,45955,5714584,45955
,1,0,White only,,14,30262,2806397,30262
,1,0,Black/African American only,,14,5142,548024,5142
,1,0,Asian only,,14,1116,106956,1116
,1,0,Some other race(s),,14,2777,280638,2777
,1,1,White only,,14,38744,3599973,38744
,1,1,Black/African American only,,14,3888,423827,3888
,1,1,Asian only,,14,1202,119007,1202
,1,1,Some other race(s),,14,3107,327511,3107
,0,0,White only,Less than High School,15,22959,2593551,22959
,0,0,White only,High School,15,109132,10828896,109132
,0,0,White only,Some College,15,171739,16977753,171739
,0,0,White only,Bachelors Degree or more,15,187966,17885810,187966
,0,0,Black/African American only,Less than High School,15,4484,550104,4484
,0,0,Black/African American only,High School,15,15875,2048529,15875
,0,0,Black/African American only,Some College,15,26430,3440205,26430
,0,0,Black/African American only,Bachelors Degree or more,15,17932,2168705,17932
,0,0,Asian only,Less than High School,15,3005,312926,3005
,0,0,Asian only,High School,15,4512,507933,4512
,0,0,Asian only,Some College,15,7852,836012,7852
,0,0,Asian only,Bachelors Degree or more,15,19387,2018417,19387
,0,0,Some other race(s),Less than High School,15,6555,832156,6555
,0,0,Some other race(s),High School,15,9511,1118356,9511
,0,0,Some other race(s),Some College,15,13984,1572096,13984
,0,0,Some other race(s),Bachelors Degree or more,15,8679,935955,8679
,0,1,White only,Less than High School,15,41859,4871243,41859
,0,1,White only,High School,15,143696,14776657,143696
,0,1,White only,Some College,15,168309,17090292,168309
,0,1,White only,Bachelors Degree or more,15,190511,18428547,190511
,0,1,Black/African American only,Less than High School,15,4950,617426,4950
,0,1,Black/African American only,High School,15,16741,2299654,16741
,0,1,Black/African American only,Some College,15,19000,2557539,19000
,0,1,Black/African American only,Bachelors Degree or more,15,11407,1451244,11407
,0,1,Asian only,Less than High School,15,2902,317296,2902
,0,1,Asian only,High School,15,4535,535569,4535
,0,1,Asian only,Some College,15,7773,844858,7773
,0,1,Asian only,Bachelors Degree or more,15,21525,2282341,21525
,0,1,Some other race(s),Less than High School,15,12029,1637623,12029
,0,1,Some other race(s),High School,15,13404,1690821,13404
,0,1,Some other race(s),Some College,15,13178,1553802,13178
,0,1,Some other race(s),Bachelors Degree or more,15,7344,832338,7344
,1,0,White only,Less than High School,15,3003,292743,3003
,1,0,White only,High School,15,9162,834012,9162
,1,0,White only,Some College,15,11015,1036868,11015
,1,0,White only,Bachelors Degree or more,15,7082,642774,7082
,1,0,Black/African American only,Less than High School,15,745,74314,745
,1,0,Black/African American only,High School,15,1524,161735,1524
,1,0,Black/African American only,Some College,15,1976,218243,1976
,1,0,Black/African American only,Bachelors Degree or more,15,897,93732,897
,1,0,Asian only,Less than High School,15,195,19030,195
,1,0,Asian only,High School,15,207,22258,207
,1,0,Asian only,Some College,15,325,30006,325
,1,0,Asian only,Bachelors Degree or more,15,389,35662,389
,1,0,Some other race(s),Less than High School,15,593,63268,593
,1,0,Some other race(s),High School,15,701,72061,701
,1,0,Some other race(s),Some College,15,1080,106116,1080
,1,0,Some other race(s),Bachelors Degree or more,15,403,39193,403
,1,1,White only,Less than High School,15,4923,479223,4923
,1,1,White only,High School,15,12496,1154202,12496
,1,1,White only,Some College,15,12433,1169805,12433
,1,1,White only,Bachelors Degree or more,15,8892,796743,8892
,1,1,Black/African American only,Less than High School,15,742,74086,742
,1,1,Black/African American only,High School,15,1385,153136,1385
,1,1,Black/African American only,Some College,15,1252,142039,1252
,1,1,Black/African American only,Bachelors Degree or more,15,509,54566,509
,1,1,Asian only,Less than High School,15,161,16994,161
,1,1,Asian only,High School,15,224,22317,224
,1,1,Asian only,Some College,15,334,33982,334
,1,1,Asian only,Bachelors Degree or more,15,483,45714,483
,1,1,Some other race(s),Less than High School,15,831,94933,831
,1,1,Some other race(s),High School,15,928,95877,928
,1,1,Some other race(s),Some College,15,928,92352,928
,1,1,Some other race(s),Bachelors Degree or more,15,420,44349,420
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,,16,31117,2828841,31117
Utilities,,,,,16,13130,1242114,13130
Construction         ,,,,,16,80676,8890440,80676
Manufacturing,,,,,16,151077,15239477,151077
Wholesale Trade,,,,,16,38133,3914929,38133
Retail Trade,,,,,16,152097,16548278,152097
"Transportation, Warehousing & Storage",,,,,16,55178,5815462,55178
Information,,,,,16,29604,3052278,29604
"Finance, Insurance",,,,,16,66657,6837093,66657
"Real Estate, Rental & Leasing",,,,,16,25333,2682674,25333
"Professional, Scientific, Management",,,,,16,97480,9767411,97480
Administrative & Waste Management Services,,,,,16,54026,6199418,54026
Educational Services,,,,,16,143909,13413553,143909
Health Care,,,,,16,161273,16541320,161273
Social Assistance Services,,,,,16,33032,3368123,33032
"Arts, Entertainment, Recreation",,,,,16,28846,3013757,28846
Accommodation and Food Services,,,,,16,84746,10314019,84746
Other Services (except Public Administration)       ,,,,,16,68142,7127971,68142
Public Administration,,,,,16,70390,6844188,70390
Active Duty Military,,,,,16,10557,985641,10557
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,Less than High School,17,6462,699675,6462
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,High School,17,10867,947943,10867
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,Some College,17,8233,697488,8233
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,Bachelors Degree or more,17,5555,483735,5555
Utilities,,,,Less than High School,17,446,44684,446
Utilities,,,,High School,17,3798,356214,3798
Utilities,,,,Some College,17,5091,475853,5091
Utilities,,,,Bachelors Degree or more,17,3795,365363,3795
Construction         ,,,,Less than High School,17,14182,1804297,14182
Construction         ,,,,High School,17,31468,3448145,31468
Construction         ,,,,Some College,17,24548,2581402,24548
Construction         ,,,,Bachelors Degree or more,17,10478,1056596,10478
Manufacturing,,,,Less than High School,17,15745,1766919,15745
Manufacturing,,,,High School,17,49741,4963735,49741
Manufacturing,,,,Some College,17,45273,4511269,45273
Manufacturing,,,,Bachelors Degree or more,17,40318,3997554,40318
Wholesale Trade,,,,Less than High School,17,3463,381207,3463
Wholesale Trade,,,,High School,17,10839,1124879,10839
Wholesale Trade,,,,Some College,17,12450,1262787,12450
Wholesale Trade,,,,Bachelors Degree or more,17,11381,1146056,11381
Retail Trade,,,,Less than High School,17,13217,1493393,13217
Retail Trade,,,,High School,17,50074,5409978,50074
Retail Trade,,,,Some College,17,58685,6481828,58685
Retail Trade,,,,Bachelors Degree or more,17,30121,3163079,30121
"Transportation, Warehousing & Storage",,,,Less than High School,17,5348,586880,5348
"Transportation, Warehousing & Storage",,,,High School,17,20561,2171346,20561
"Transportation, Warehousing & Storage",,,,Some College,17,20126,2115642,20126
"Transportation, Warehousing & Storage",,,,Bachelors Degree or more,17,9143,941594,9143
Information,,,,Less than High School,17,666,69444,666
Information,,,,High School,17,4696,492132,4696
Information,,,,Some College,17,9868,1039531,9868
Information,,,,Bachelors Degree or more,17,14374,1451171,14374
"Finance, Insurance",,,,Less than High School,17,784,79505,784
"Finance, Insurance",,,,High School,17,10484,1059210,10484
"Finance, Insurance",,,,Some College,17,21691,2260116,21691
"Finance, Insurance",,,,Bachelors Degree or more,17,33698,3438262,33698
"Real Estate, Rental & Leasing",,,,Less than High School,17,1578,190699,1578
"Real Estate, Rental & Leasing",,,,High School,17,5563,612838,5563
"Real Estate, Rental & Leasing",,,,Some College,17,8974,952155,8974
"Real Estate, Rental & Leasing",,,,Bachelors Degree or more,17,9218,926982,9218
"Professional, Scientific, Management",,,,Less than High School,17,1210,130697,1210
"Professional, Scientific, Management",,,,High School,17,8227,855255,8227
"Professional, Scientific, Management",,,,Some College,17,22815,2325451,22815
"Professional, Scientific, Management",,,,Bachelors Degree or more,17,65228,6456008,65228
Administrative & Waste Management Services,,,,Less than High School,17,8802,1139491,8802
Administrative & Waste Management Services,,,,High School,17,16492,1941252,16492
Administrative & Waste Management Services,,,,Some College,17,17793,1991865,17793
Administrative & Waste Management Services,,,,Bachelors Degree or more,17,10939,1126810,10939
Educational Services,,,,Less than High School,17,3021,313170,3021
Educational Services,,,,High School,17,16106,1494665,16106
Educational Services,,,,Some College,17,30780,2843365,30780
Educational Services,,,,Bachelors Degree or more,17,94002,8762353,94002
Health Care,,,,Less than High School,17,6471,696234,6471
Health Care,,,,High School,17,27570,2923305,27570
Health Care,,,,Some College,17,63452,6572935,63452
Health Care,,,,Bachelors Degree or more,17,63780,6348846,63780
Social Assistance Services,,,,Less than High School,17,2775,289055,2775
Social Assistance Services,,,,High School,17,7619,760080,7619
Social Assistance Services,,,,Some College,17,11156,1158927,11156
Social Assistance Services,,,,Bachelors Degree or more,17,11482,1160061,11482
"Arts, Entertainment, Recreation",,,,Less than High School,17,2022,224961,2022
"Arts, Entertainment, Recreation",,,,High School,17,6636,708591,6636
"Arts, Entertainment, Recreation",,,,Some College,17,10456,1100698,10456
"Arts, Entertainment, Recreation",,,,Bachelors Degree or more,17,9732,979507,9732
Accommodation and Food Services,,,,Less than High School,17,14151,1857276,14151
Accommodation and Food Services,,,,High School,17,27299,3352331,27299
Accommodation and Food Services,,,,Some College,17,32450,3880202,32450
Accommodation and Food Services,,,,Bachelors Degree or more,17,10846,1224210,10846
Other Services (except Public Administration)       ,,,,Less than High School,17,8057,931605,8057
Other Services (except Public Administration)       ,,,,High School,17,20890,2270412,20890
Other Services (except Public Administration)       ,,,,Some College,17,22306,2337288,22306
Other Services (except Public Administration)       ,,,,Bachelors Degree or more,17,16889,1588666,16889
Public Administration,,,,Less than High School,17,1463,140462,1463
Public Administration,,,,High School,17,12143,1162347,12143
Public Administration,,,,Some College,17,26632,2652709,26632
Public Administration,,,,Bachelors Degree or more,17,30152,2888670,30152
Active Duty Military,,,,Less than High School,17,73,7262,73
Active Duty Military,,,,High School,17,2960,267355,2960
Active Duty Military,,,,Some College,17,4829,460457,4829
Active Duty Military,,,,Bachelors Degree or more,17,2695,250567,2695
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,White only,,18,27316,2401324,27316
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Black/African American only,,18,837,99241,837
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Asian only,,18,408,45956,408
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some other race(s),,18,2556,282320,2556
Utilities,,,White only,,18,11076,1015544,11076
Utilities,,,Black/African American only,,18,985,123643,985
Utilities,,,Asian only,,18,413,40414,413
Utilities,,,Some other race(s),,18,656,62513,656
Construction         ,,,White only,,18,68726,7302882,68726
Construction         ,,,Black/African American only,,18,3440,465257,3440
Construction         ,,,Asian only,,18,1270,143014,1270
Construction         ,,,Some other race(s),,18,7240,979287,7240
Manufacturing,,,White only,,18,122220,11818316,122220
Manufacturing,,,Black/African American only,,18,10810,1366899,10810
Manufacturing,,,Asian only,,18,9130,973974,9130
Manufacturing,,,Some other race(s),,18,8917,1080288,8917
Wholesale Trade,,,White only,,18,31521,3123938,31521
Wholesale Trade,,,Black/African American only,,18,2151,286770,2151
Wholesale Trade,,,Asian only,,18,1986,209912,1986
Wholesale Trade,,,Some other race(s),,18,2475,294309,2475
Retail Trade,,,White only,,18,120822,12574647,120822
Retail Trade,,,Black/African American only,,18,13404,1852196,13404
Retail Trade,,,Asian only,,18,7467,841339,7467
Retail Trade,,,Some other race(s),,18,10404,1280096,10404
"Transportation, Warehousing & Storage",,,White only,,18,41236,4102278,41236
"Transportation, Warehousing & Storage",,,Black/African American only,,18,7833,1023082,7833
"Transportation, Warehousing & Storage",,,Asian only,,18,2402,256168,2402
"Transportation, Warehousing & Storage",,,Some other race(s),,18,3707,433934,3707
Information,,,White only,,18,23631,2346489,23631
Information,,,Black/African American only,,18,2516,327318,2516
Information,,,Asian only,,18,1934,203247,1934
Information,,,Some other race(s),,18,1523,175224,1523
"Finance, Insurance",,,White only,,18,54094,5352935,54094
"Finance, Insurance",,,Black/African American only,,18,5326,684864,5326
"Finance, Insurance",,,Asian only,,18,4455,474904,4455
"Finance, Insurance",,,Some other race(s),,18,2782,324390,2782
"Real Estate, Rental & Leasing",,,White only,,18,20841,2134350,20841
"Real Estate, Rental & Leasing",,,Black/African American only,,18,1884,251248,1884
"Real Estate, Rental & Leasing",,,Asian only,,18,1039,106158,1039
"Real Estate, Rental & Leasing",,,Some other race(s),,18,1569,190918,1569
"Professional, Scientific, Management",,,White only,,18,80601,7855988,80601
"Professional, Scientific, Management",,,Black/African American only,,18,4559,562776,4559
"Professional, Scientific, Management",,,Asian only,,18,8682,943536,8682
"Professional, Scientific, Management",,,Some other race(s),,18,3638,405111,3638
Administrative & Waste Management Services,,,White only,,18,39797,4336080,39797
Administrative & Waste Management Services,,,Black/African American only,,18,6982,935811,6982
Administrative & Waste Management Services,,,Asian only,,18,1699,184218,1699
Administrative & Waste Management Services,,,Some other race(s),,18,5548,743309,5548
Educational Services,,,White only,,18,118087,10688614,118087
Educational Services,,,Black/African American only,,18,12614,1429508,12614
Educational Services,,,Asian only,,18,6397,622582,6397
Educational Services,,,Some other race(s),,18,6811,672849,6811
Health Care,,,White only,,18,121773,11835874,121773
Health Care,,,Black/African American only,,18,20261,2627907,20261
Health Care,,,Asian only,,18,10883,1136214,10883
Health Care,,,Some other race(s),,18,8356,941325,8356
Social Assistance Services,,,White only,,18,23663,2278705,23663
Social Assistance Services,,,Black/African American only,,18,5373,659344,5373
Social Assistance Services,,,Asian only,,18,1352,134984,1352
Social Assistance Services,,,Some other race(s),,18,2644,295090,2644
"Arts, Entertainment, Recreation",,,White only,,18,23150,2351679,23150
"Arts, Entertainment, Recreation",,,Black/African American only,,18,1997,263597,1997
"Arts, Entertainment, Recreation",,,Asian only,,18,1218,131682,1218
"Arts, Entertainment, Recreation",,,Some other race(s),,18,2481,266799,2481
Accommodation and Food Services,,,White only,,18,60664,7114996,60664
Accommodation and Food Services,,,Black/African American only,,18,8889,1254177,8889
Accommodation and Food Services,,,Asian only,,18,5989,681322,5989
Accommodation and Food Services,,,Some other race(s),,18,9204,1263524,9204
Other Services (except Public Administration)       ,,,White only,,18,53704,5379322,53704
Other Services (except Public Administration)       ,,,Black/African American only,,18,5396,675639,5396
Other Services (except Public Administration)       ,,,Asian only,,18,4117,466583,4117
Other Services (except Public Administration)       ,,,Some other race(s),,18,4925,606427,4925
Public Administration,,,White only,,18,54224,5110616,54224
Public Administration,,,Black/African American only,,18,9252,1076775,9252
Public Administration,,,Asian only,,18,2633,254988,2633
Public Administration,,,Some other race(s),,18,4281,401809,4281
Active Duty Military,,,White only,,18,8031,734542,8031
Active Duty Military,,,Black/African American only,,18,1340,139205,1340
Active Duty Military,,,Asian only,,18,335,30120,335
Active Duty Military,,,Some other race(s),,18,851,81774,851
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,White only,Less than High School,19,4774,507236,4774
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,White only,High School,19,9851,833729,9851
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,White only,Some College,19,7594,629160,7594
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,White only,Bachelors Degree or more,19,5097,431199,5097
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Black/African American only,Less than High School,19,242,25629,242
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Black/African American only,High School,19,308,36772,308
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Black/African American only,Some College,19,186,23019,186
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Black/African American only,Bachelors Degree or more,19,101,13821,101
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Asian only,Less than High School,19,85,9580,85
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Asian only,High School,19,66,7482,66
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Asian only,Some College,19,72,8563,72
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Asian only,Bachelors Degree or more,19,185,20331,185
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some other race(s),Less than High School,19,1361,157230,1361
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some other race(s),High School,19,642,69960,642
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some other race(s),Some College,19,381,36746,381
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,Some other race(s),Bachelors Degree or more,19,172,18384,172
Utilities,,,White only,Less than High School,19,338,33473,338
Utilities,,,White only,High School,19,3281,300613,3281
Utilities,,,White only,Some College,19,4324,389548,4324
Utilities,,,White only,Bachelors Degree or more,19,3133,291910,3133
Utilities,,,Black/African American only,Less than High School,19,44,5211,44
Utilities,,,Black/African American only,High School,19,276,33446,276
Utilities,,,Black/African American only,Some College,19,423,52601,423
Utilities,,,Black/African American only,Bachelors Degree or more,19,242,32385,242
Utilities,,,Asian only,Less than High School,19,7,667,7
Utilities,,,Asian only,High School,19,37,3988,37
Utilities,,,Asian only,Some College,19,73,6963,73
Utilities,,,Asian only,Bachelors Degree or more,19,296,28796,296
Utilities,,,Some other race(s),Less than High School,19,57,5333,57
Utilities,,,Some other race(s),High School,19,204,18167,204
Utilities,,,Some other race(s),Some College,19,271,26741,271
Utilities,,,Some other race(s),Bachelors Degree or more,19,124,12272,124
Construction         ,,,White only,Less than High School,19,10483,1290368,10483
Construction         ,,,White only,High School,19,27319,2885473,27319
Construction         ,,,White only,Some College,19,21639,2204691,21639
Construction         ,,,White only,Bachelors Degree or more,19,9285,922350,9285
Construction         ,,,Black/African American only,Less than High School,19,572,68306,572
Construction         ,,,Black/African American only,High School,19,1429,202632,1429
Construction         ,,,Black/African American only,Some College,19,1070,149199,1070
Construction         ,,,Black/African American only,Bachelors Degree or more,19,369,45120,369
Construction         ,,,Asian only,Less than High School,19,201,23014,201
Construction         ,,,Asian only,High School,19,295,36530,295
Construction         ,,,Asian only,Some College,19,329,39368,329
Construction         ,,,Asian only,Bachelors Degree or more,19,445,44102,445
Construction         ,,,Some other race(s),Less than High School,19,2926,422609,2926
Construction         ,,,Some other race(s),High School,19,2425,323510,2425
Construction         ,,,Some other race(s),Some College,19,1510,188144,1510
Construction         ,,,Some other race(s),Bachelors Degree or more,19,379,45024,379
Manufacturing,,,White only,Less than High School,19,10480,1136094,10480
Manufacturing,,,White only,High School,19,41158,3901960,41158
Manufacturing,,,White only,Some College,19,37769,3602715,37769
Manufacturing,,,White only,Bachelors Degree or more,19,32813,3177547,32813
Manufacturing,,,Black/African American only,Less than High School,19,1228,142661,1228
Manufacturing,,,Black/African American only,High School,19,4384,553213,4384
Manufacturing,,,Black/African American only,Some College,19,3696,485517,3696
Manufacturing,,,Black/African American only,Bachelors Degree or more,19,1502,185508,1502
Manufacturing,,,Asian only,Less than High School,19,1223,129216,1223
Manufacturing,,,Asian only,High School,19,1418,166899,1418
Manufacturing,,,Asian only,Some College,19,1636,173901,1636
Manufacturing,,,Asian only,Bachelors Degree or more,19,4853,503958,4853
Manufacturing,,,Some other race(s),Less than High School,19,2814,358948,2814
Manufacturing,,,Some other race(s),High School,19,2781,341663,2781
Manufacturing,,,Some other race(s),Some College,19,2172,249136,2172
Manufacturing,,,Some other race(s),Bachelors Degree or more,19,1150,130541,1150
Wholesale Trade,,,White only,Less than High School,19,2344,251259,2344
Wholesale Trade,,,White only,High School,19,9028,899604,9028
Wholesale Trade,,,White only,Some College,19,10525,1026033,10525
Wholesale Trade,,,White only,Bachelors Degree or more,19,9624,947042,9624
Wholesale Trade,,,Black/African American only,Less than High School,19,232,27932,232
Wholesale Trade,,,Black/African American only,High School,19,800,103919,800
Wholesale Trade,,,Black/African American only,Some College,19,726,102587,726
Wholesale Trade,,,Black/African American only,Bachelors Degree or more,19,393,52332,393
Wholesale Trade,,,Asian only,Less than High School,19,195,20704,195
Wholesale Trade,,,Asian only,High School,19,248,28339,248
Wholesale Trade,,,Asian only,Some College,19,466,46659,466
Wholesale Trade,,,Asian only,Bachelors Degree or more,19,1077,114210,1077
Wholesale Trade,,,Some other race(s),Less than High School,19,692,81312,692
Wholesale Trade,,,Some other race(s),High School,19,763,93017,763
